Comment,Designator,Footprint,LCSC
1k,"R1,R2,R7",R_0402_1005Metric,C11702
W25Q128JVS,U1,SOIC-8_5.23x5.23mm_P1.27mm,C131025
100nF,"C1,C10,C11,C12,C13,C14,C15,C5,C6,C9",C_0402_1005Metric,C1525
10uF,C7,C_0402_1005Metric,C15525
22pF,"C2,C3",C_0402_1005Metric,C1555
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
RP2040,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
27R,"R5,R6",R_0603_1608Metric,C25190
5k1,"R3,R4",R_0402_1005Metric,C25905
SW_Push,"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW27,SW28,SW29,SW3,SW30,SW31,SW32,SW33,SW34,SW35,SW36,SW37,SW38,SW39,SW4,SW40,SW41,SW42,SW43,SW44,SW45,SW46,SW47,SW48,SW49,SW5,SW50,SW51,SW52,SW53,SW54,SW55,SW56,SW57,SW58,SW59,SW6,SW60,SW61,SW62,SW63,SW64,SW65,SW66,SW67,SW68,SW7,SW8,SW9",MX-Hotswap-1U,C2803348
USBLC6-2SC6,U2,SOT-23-6,C2827654
1uF,"C16,C17,C4,C8",C_0402_1005Metric,C52923
XC6206PxxxMR,U4,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
1N4148W,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D7,D8,D9",D_SOD-123,C81598
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
WS2812B-4020,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED4,LED5,LED6,LED7,LED8,LED9",WS2812B-4020,C965557
Fiducial,FID4,Fiducial_1mm_Mask2mm,
Fiducial,FID3,Fiducial_1mm_Mask2mm,
Fiducial,FID2,Fiducial_1mm_Mask2mm,
Fiducial,FID1,Fiducial_1mm_Mask2mm,
MountingHole,H6,MountingHole_2.2mm_M2,
MountingHole,H4,MountingHole_2.2mm_M2,
MountingHole,H1,MountingHole_2.2mm_M2,
MountingHole,H3,MountingHole_2.2mm_M2,
MountingHole,H5,MountingHole_2.2mm_M2,
MountingHole,H2,MountingHole_2.2mm_M2,
MountingHole,H7,MountingHole_2.2mm_M2,
MountingHole,H8,MountingHole_2.2mm_M2,
